Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,1,1,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,1,1,6,5,NOTHING,false,0,0,0,0,0,,,0,0,0
3,1,1,11,3,HIT_MUD,false,0,1,0,0,0,,,0,0,-3
4,1,1,14,3,NOTHING,false,0,1,1,0,0,,,0,0,1
5,1,1,17,3,NOTHING,false,0,1,1,0,0,,,0,0,1
6,1,1,20,3,HIT_MUD,false,0,2,1,0,0,,,0,0,-2
7,1,1,23,3,NOTHING,false,0,2,1,0,0,,,0,0,-2
8,1,1,26,3,NOTHING,false,0,2,1,0,0,,,1,0,2
9,1,1,29,3,NOTHING,false,0,2,1,0,0,,,1,0,2
10,1,1,32,3,HIT_MUD,false,0,3,1,0,0,,,1,0,-1
11,1,1,35,3,NOTHING,false,0,3,1,0,0,,,1,0,-1
12,1,1,38,3,NOTHING,false,0,3,1,0,0,,,1,0,-1
13,1,1,41,3,NOTHING,false,0,3,1,0,0,,,1,0,-1
14,1,1,44,3,NOTHING,false,0,3,1,0,0,,,1,0,-1
15,1,1,47,3,NOTHING,false,0,3,1,0,0,,,1,0,-1
16,1,1,50,3,NOTHING,false,0,3,1,0,0,,,1,0,-1
17,1,1,53,3,HIT_MUD,false,0,4,1,0,0,,,1,0,-4
18,1,1,56,3,NOTHING,false,0,4,1,0,0,,,1,0,-4
19,1,1,59,3,NOTHING,false,0,4,1,0,0,,,1,0,-4
20,1,1,62,3,NOTHING,false,0,4,1,0,0,,,1,0,-4
21,1,1,65,3,NOTHING,false,0,4,1,0,0,,,1,0,-4
22,1,1,68,0,HIT_MUD,false,0,5,1,0,0,,,1,0,-7
23,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
24,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
25,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
26,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
27,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
28,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
29,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
30,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
31,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
32,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
33,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
34,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
35,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
36,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
37,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
38,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
39,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
40,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
41,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
42,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
43,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
44,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
45,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
46,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
47,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
48,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
49,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
50,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
51,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
52,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
53,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
54,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
55,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
56,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
57,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
58,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
59,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
60,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
61,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
62,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
63,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
64,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
65,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
66,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
67,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
68,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
69,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
70,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
71,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
72,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
73,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
74,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
75,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
76,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
77,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
78,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
79,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
80,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
81,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
82,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
83,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
84,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
85,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
86,1,1,68,0,NOTHING,false,0,5,1,0,0,,,1,0,-7
